strategy,trades,avg_R,win_rate,breakeven_rate
60m / 1m|R=2|Stop=3|BE=1.5,506,0.38377461086777626,0.766798418972332,0.233201581027668
60m / 1m|R=2|Stop=4|BE=0.5,506,0.3122703875907249,0.6245059288537549,0.37549407114624506
60m / 1m|R=2|Stop=4|BE=0.75,506,0.3471847485920424,0.6936758893280632,0.30632411067193677
60m / 1m|R=2|Stop=4|BE=1.0,506,0.37485273278176573,0.7490118577075099,0.2509881422924901
60m / 1m|R=2|Stop=4|BE=1.5,506,0.37485273278176573,0.7490118577075099,0.2509881422924901
60m / 1m|R=2|Stop=5|BE=0.75,506,0.34419242641704173,0.6877470355731226,0.31225296442687744
60m / 1m|R=2|Stop=5|BE=1.0,506,0.37087226831427494,0.741106719367589,0.25889328063241107
60m / 1m|R=2|Stop=5|BE=1.5,506,0.37087226831427494,0.741106719367589,0.25889328063241107
60m / 1m|R=2|Stop=6|BE=1.0,506,0.3678806222599543,0.7351778656126482,0.2648221343873518
60m / 1m|R=2|Stop=6|BE=1.5,506,0.3678806222599543,0.7351778656126482,0.2648221343873518
60m / 1m|R=2|Stop=7|BE=1.0,506,0.36390148529044464,0.7272727272727273,0.2727272727272727
60m / 1m|R=2|Stop=7|BE=1.5,506,0.36390148529044464,0.7272727272727273,0.2727272727272727
60m / 1m|R=2|Stop=8|BE=1.5,506,0.35992297616665414,0.7193675889328063,0.28063241106719367
60m / 1m|R=2|Stop=9|BE=1.5,506,0.3519925033245902,0.7035573122529645,0.2964426877470356
60m / 1m|R=3|Stop=0|BE=0.25,506,0.3221343873517787,0.6442687747035574,0.3557312252964427
60m / 1m|R=3|Stop=0|BE=0.5,506,0.327134750448684,0.6541501976284585,0.3458498023715415
60m / 1m|R=3|Stop=0|BE=0.75,506,0.33742221002468115,0.6739130434782609,0.32608695652173914
60m / 1m|R=3|Stop=0|BE=1.0,506,0.34137477919464165,0.6818181818181818,0.3181818181818182
60m / 1m|R=3|Stop=0|BE=1.5,506,0.34137477919464165,0.6818181818181818,0.3181818181818182
60m / 1m|R=3|Stop=1|BE=1.0,506,0.3848221656649554,0.7687747035573123,0.23122529644268774
60m / 1m|R=3|Stop=1|BE=1.5,506,0.3848221656649554,0.7687747035573123,0.23122529644268774
60m / 1m|R=3|Stop=2|BE=1.5,506,0.3857802224765745,0.7707509881422925,0.22924901185770752
60m / 1m|R=3|Stop=3|BE=1.5,506,0.38377461086777626,0.766798418972332,0.233201581027668
60m / 2m|R=2|Stop=1|BE=1.5,475,0.3544811180493607,0.7094736842105264,0.2905263157894737
